config,Devin_winpct,Gayden_winpct,Gunner_winpct,Zach_winpct,spread_pct,mean_total,group_share_pct,group_win,upset_mode,upset_value,adv,tier_weighted
B10 x.steep 4/9/18/32/52,25.59,22.6,29.48,22.32,7.16,83.83,33.93,3,flat,2,4/9/18/32/52,False
B4 v.steep 3/7/14/26/44,25.52,22.72,29.52,22.24,7.29,74.87,37.99,3,flat,2,3/7/14/26/44,False
B1 steeper 3/6/12/22/36,25.23,22.78,29.84,22.15,7.69,70.64,40.26,3,flat,2,3/6/12/22/36,False
B9 steeper36 + upset+3,25.09,23.05,29.84,22.02,7.83,71.99,41.38,3,flat,3,3/6/12/22/36,False
B2 steep 2/5/10/18/30,25.04,22.9,29.98,22.08,7.9,64.57,44.05,3,flat,2,2/5/10/18/30,False
B3 steep 4/8/14/22/34,25.03,22.89,30.07,22.02,8.05,75.63,37.61,3,flat,2,4/8/14/22/34,False
adv 3/6/10/16/25 (steep),24.69,23.0,30.5,21.81,8.68,66.53,42.75,3,flat,2,3/6/10/16/25,False
B6 steep25 + upset+3,24.57,23.32,30.47,21.64,8.82,67.88,43.89,3,flat,3,3/6/10/16/25,False
B7 steep25 + gap x2,24.14,22.62,31.04,22.2,8.84,67.77,43.8,3,gap,2,3/6/10/16/25,False
B5 mod-steep 3/5/9/14/22,24.53,23.09,30.71,21.67,9.04,64.02,44.42,3,flat,2,3/5/9/14/22,False
B8 steep25 + gw4,24.59,22.99,30.76,21.66,9.1,73.86,48.43,4,flat,2,3/6/10/16/25,False
baseline (current),23.86,23.21,31.47,21.46,10.01,60.98,46.64,3,flat,2,3/5/7/10/15,False
upset gap x2 (2/4/6),23.0,22.8,32.14,22.07,10.07,62.22,47.71,3,gap,2,3/5/7/10/15,False
upset flat +3,23.67,23.63,31.44,21.26,10.18,62.33,47.8,3,flat,3,3/5/7/10/15,False
upset gap x3 (3/6/9),22.36,22.86,32.5,22.28,10.21,64.19,49.31,3,gap,3,3/5/7/10/15,False
upset flat +4,23.48,24.04,31.38,21.1,10.27,63.68,48.9,3,flat,4,3/5/7/10/15,False
group win 4,23.61,23.19,31.8,21.4,10.41,68.31,52.37,4,flat,2,3/5/7/10/15,False
group win 5,23.23,23.26,32.17,21.34,10.83,75.64,56.99,5,flat,2,3/5/7/10/15,False
adv 2/3/4/6/10,23.21,23.5,32.14,21.15,10.98,53.47,53.19,3,flat,2,2/3/4/6/10,False
adv 3/4/5/7/10,23.2,23.49,32.17,21.14,11.02,57.42,49.53,3,flat,2,3/4/5/7/10,False
adv 2/3/4/5/8,22.72,23.73,32.46,21.09,11.37,52.94,53.73,3,flat,2,2/3/4/5/8,False
adv 2/2/3/4/6 (very flat),22.25,24.02,32.82,20.91,11.91,50.83,55.95,3,flat,2,2/2/3/4/6,False
tierW base 3/5/7/10/15,21.98,24.73,32.87,20.41,12.46,75.77,37.53,3,flat,2,3/5/7/10/15,True
tierW low 1/2/3/4/6,21.56,24.9,33.26,20.28,12.99,54.26,52.42,3,flat,2,1/2/3/4/6,True
tierW flat 1/1/2/3/4,21.14,25.14,33.57,20.15,13.42,50.79,55.99,3,flat,2,1/1/2/3/4,True
